SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2016-01-02,10,N2EXMIDP,0,0
2016-01-02,11,APXMIDP ,496.6,21.9
2016-01-02,11,N2EXMIDP,0,0
2016-01-02,12,APXMIDP ,424.5,21.5
2016-01-02,12,N2EXMIDP,0,0
2016-01-02,13,APXMIDP ,350.4,20.55
2016-01-02,13,N2EXMIDP,0,0
2016-01-02,14,APXMIDP ,553.95,22.56
2016-01-02,14,N2EXMIDP,0,0
2016-01-02,15,APXMIDP ,918.7,28.23
2016-01-02,15,N2EXMIDP,0,0
2016-01-02,16,APXMIDP ,643.55,28.72
2016-01-02,16,N2EXMIDP,0,0
2016-01-02,17,APXMIDP ,540.35,30.15
2016-01-02,17,N2EXMIDP,0,0
2016-01-02,18,APXMIDP ,751.5,34.96
2016-01-02,18,N2EXMIDP,0,0
2016-01-02,19,APXMIDP ,496.5,35.01
2016-01-02,19,N2EXMIDP,0,0
2016-01-02,20,APXMIDP ,657,33.89
2016-01-02,20,N2EXMIDP,0,0
2016-01-02,21,APXMIDP ,671.5,34.17
2016-01-02,21,N2EXMIDP,0,0
2016-01-02,22,APXMIDP ,731.55,34.25
2016-01-02,22,N2EXMIDP,0,0
2016-01-02,23,APXMIDP ,610.5,35.84
2016-01-02,23,N2EXMIDP,0,0
2016-01-02,24,APXMIDP ,510.85,34.47
2016-01-02,24,N2EXMIDP,0,0
2016-01-02,25,APXMIDP ,415.3,35.42
2016-01-02,25,N2EXMIDP,0,0
2016-01-02,26,APXMIDP ,516.1,34.62
2016-01-02,26,N2EXMIDP,0,0
2016-01-02,27,APXMIDP ,504.1,33.72
2016-01-02,27,N2EXMIDP,0,0
2016-01-02,28,APXMIDP ,564.8,33.36
2016-01-02,28,N2EXMIDP,0,0
2016-01-02,29,APXMIDP ,652.35,33.03
2016-01-02,29,N2EXMIDP,0,0
2016-01-02,30,APXMIDP ,662.4,33.02
2016-01-02,30,N2EXMIDP,0,0
2016-01-02,31,APXMIDP ,1090.3,39.36
2016-01-02,31,N2EXMIDP,0,0
2016-01-02,32,APXMIDP ,949.4,40.32
2016-01-02,32,N2EXMIDP,0,0
2016-01-02,33,APXMIDP ,988.8,41.75
2016-01-02,33,N2EXMIDP,0,0
2016-01-02,34,APXMIDP ,933.4,52.21
2016-01-02,34,N2EXMIDP,0,0
2016-01-02,35,APXMIDP ,621.2,56.79
2016-01-02,35,N2EXMIDP,0,0
2016-01-02,36,APXMIDP ,789.1,65.62
2016-01-02,36,N2EXMIDP,0,0
2016-01-02,37,APXMIDP ,574.25,53.97
2016-01-02,37,N2EXMIDP,0,0
2016-01-02,38,APXMIDP ,588.75,54.11
2016-01-02,38,N2EXMIDP,0,0
2016-01-02,39,APXMIDP ,888.4,44.69
2016-01-02,39,N2EXMIDP,0,0
2016-01-02,40,APXMIDP ,774.8,39.39
2016-01-02,40,N2EXMIDP,0,0
2016-01-02,41,APXMIDP ,767.7,38.16
2016-01-02,41,N2EXMIDP,0,0
2016-01-02,42,APXMIDP ,796.6,36.62
2016-01-02,42,N2EXMIDP,0,0
2016-01-02,43,APXMIDP ,1017.75,33.55
2016-01-02,43,N2EXMIDP,0,0
2016-01-02,44,APXMIDP ,1087.55,33.04
2016-01-02,44,N2EXMIDP,0,0
2016-01-02,45,APXMIDP ,1146.6,32.9
2016-01-02,45,N2EXMIDP,0,0
2016-01-02,46,APXMIDP ,1274.75,32.62
2016-01-02,46,N2EXMIDP,0,0
2016-01-02,47,APXMIDP ,1414.55,39.3
2016-01-02,47,N2EXMIDP,0,0
2016-01-02,48,APXMIDP ,1210.5,39.15
2016-01-02,48,N2EXMIDP,0,0
2016-01-03,1,APXMIDP ,1068,39.17
2016-01-03,1,N2EXMIDP,0,0
2016-01-03,2,APXMIDP ,1053.25,38.74
2016-01-03,2,N2EXMIDP,0,0
2016-01-03,3,APXMIDP ,698,39.01
2016-01-03,3,N2EXMIDP,0,0
2016-01-03,4,APXMIDP ,500.45,37.33
2016-01-03,4,N2EXMIDP,0,0
2016-01-03,5,APXMIDP ,466.45,35.97
2016-01-03,5,N2EXMIDP,0,0
2016-01-03,6,APXMIDP ,466.15,33.04
2016-01-03,6,N2EXMIDP,0,0
2016-01-03,7,APXMIDP ,502.75,25.04
2016-01-03,7,N2EXMIDP,0,0
2016-01-03,8,APXMIDP ,403.05,22.11
2016-01-03,8,N2EXMIDP,0,0
2016-01-03,9,APXMIDP ,412.95,20.02
2016-01-03,9,N2EXMIDP,0,0
2016-01-03,10,APXMIDP ,401,19.43
2016-01-03,10,N2EXMIDP,0,0
2016-01-03,11,APXMIDP ,447.5,19.81
2016-01-03,11,N2EXMIDP,0,0
2016-01-03,12,APXMIDP ,521.1,20.07
2016-01-03,12,N2EXMIDP,0,0
2016-01-03,13,APXMIDP ,531.2,20.18
