SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2020-01-01,1,APXMIDP ,784.6,35.28
2020-01-01,1,N2EXMIDP,0,0
2020-01-01,2,APXMIDP ,636.25,37.01
2020-01-01,2,N2EXMIDP,0,0
2020-01-01,3,APXMIDP ,740.75,37.78
2020-01-01,3,N2EXMIDP,0,0
2020-01-01,4,APXMIDP ,618.8,35.6
2020-01-01,4,N2EXMIDP,0,0
2020-01-01,5,APXMIDP ,694.7,31.7
2020-01-01,5,N2EXMIDP,0,0
2020-01-01,6,APXMIDP ,568.9,32.57
2020-01-01,6,N2EXMIDP,0,0
2020-01-01,7,APXMIDP ,571.85,28.97
2020-01-01,7,N2EXMIDP,0,0
2020-01-01,8,APXMIDP ,468.4,27.98
2020-01-01,8,N2EXMIDP,0,0
2020-01-01,9,APXMIDP ,699.25,31.4
2020-01-01,9,N2EXMIDP,0,0
2020-01-01,10,APXMIDP ,426.3,30.12
2020-01-01,10,N2EXMIDP,0,0
2020-01-01,11,APXMIDP ,571.25,27.12
2020-01-01,11,N2EXMIDP,0,0
2020-01-01,12,APXMIDP ,503.1,27.31
2020-01-01,12,N2EXMIDP,0,0
2020-01-01,13,APXMIDP ,522.6,26.43
2020-01-01,13,N2EXMIDP,0,0
2020-01-01,14,APXMIDP ,585.9,28.12
2020-01-01,14,N2EXMIDP,0,0
2020-01-01,15,APXMIDP ,416.8,26.86
2020-01-01,15,N2EXMIDP,0,0
2020-01-01,16,APXMIDP ,339.7,27.34
2020-01-01,16,N2EXMIDP,0,0
2020-01-01,17,APXMIDP ,398.05,28.74
2020-01-01,17,N2EXMIDP,0,0
2020-01-01,18,APXMIDP ,381.95,36.02
2020-01-01,18,N2EXMIDP,0,0
2020-01-01,19,APXMIDP ,583.8,37.86
2020-01-01,19,N2EXMIDP,0,0
2020-01-01,20,APXMIDP ,543.9,34.48
2020-01-01,20,N2EXMIDP,0,0
2020-01-01,21,APXMIDP ,622.25,37.61
2020-01-01,21,N2EXMIDP,0,0
2020-01-01,22,APXMIDP ,461.2,36.08
2020-01-01,22,N2EXMIDP,0,0
2020-01-01,23,APXMIDP ,1261.6,43.69
2020-01-01,23,N2EXMIDP,0,0
2020-01-01,24,APXMIDP ,1350.5,42.49
2020-01-01,24,N2EXMIDP,0,0
2020-01-01,25,APXMIDP ,995.95,40.73
2020-01-01,25,N2EXMIDP,0,0
2020-01-01,26,APXMIDP ,965.1,41.06
2020-01-01,26,N2EXMIDP,0,0
2020-01-01,27,APXMIDP ,1020.55,41.58
2020-01-01,27,N2EXMIDP,0,0
2020-01-01,28,APXMIDP ,1015.2,41.26
2020-01-01,28,N2EXMIDP,0,0
2020-01-01,29,APXMIDP ,1002.65,40.67
2020-01-01,29,N2EXMIDP,0,0
2020-01-01,30,APXMIDP ,1087.8,36.61
2020-01-01,30,N2EXMIDP,0,0
2020-01-01,31,APXMIDP ,921.25,36.89
2020-01-01,31,N2EXMIDP,0,0
2020-01-01,32,APXMIDP ,1240.4,37.5
2020-01-01,32,N2EXMIDP,0,0
2020-01-01,33,APXMIDP ,1123.6,44.63
2020-01-01,33,N2EXMIDP,0,0
2020-01-01,34,APXMIDP ,1549.65,47.92
2020-01-01,34,N2EXMIDP,0,0
2020-01-01,35,APXMIDP ,1577.15,49.39
2020-01-01,35,N2EXMIDP,0,0
2020-01-01,36,APXMIDP ,1322.3,47.8
2020-01-01,36,N2EXMIDP,0,0
2020-01-01,37,APXMIDP ,1690.3,48.15
2020-01-01,37,N2EXMIDP,0,0
2020-01-01,38,APXMIDP ,1434.4,45.95
2020-01-01,38,N2EXMIDP,0,0
2020-01-01,39,APXMIDP ,1385.65,43.87
2020-01-01,39,N2EXMIDP,0,0
2020-01-01,40,APXMIDP ,1455.45,42.65
2020-01-01,40,N2EXMIDP,0,0
2020-01-01,41,APXMIDP ,1341.5,36.47
2020-01-01,41,N2EXMIDP,0,0
2020-01-01,42,APXMIDP ,1322.55,35.59
2020-01-01,42,N2EXMIDP,0,0
2020-01-01,43,APXMIDP ,981.75,37.74
2020-01-01,43,N2EXMIDP,0,0
2020-01-01,44,APXMIDP ,948.55,39.41
2020-01-01,44,N2EXMIDP,0,0
2020-01-01,45,APXMIDP ,1125.05,40.16
2020-01-01,45,N2EXMIDP,0,0
2020-01-01,46,APXMIDP ,1457.75,37.98
2020-01-01,46,N2EXMIDP,0,0
2020-01-01,47,APXMIDP ,1001.45,44.49
2020-01-01,47,N2EXMIDP,0,0
2020-01-01,48,APXMIDP ,849.9,37.91
2020-01-01,48,N2EXMIDP,0,0
2020-01-02,1,APXMIDP ,504.15,28.36
2020-01-02,1,N2EXMIDP,0,0
2020-01-02,2,APXMIDP ,725,26.66
2020-01-02,2,N2EXMIDP,0,0
2020-01-02,3,APXMIDP ,711.3,28.3
2020-01-02,3,N2EXMIDP,0,0
2020-01-02,4,APXMIDP ,511.05,23.1
2020-01-02,4,N2EXMIDP,0,0
2020-01-02,5,APXMIDP ,595.15,26.04
2020-01-02,5,N2EXMIDP,0,0
