SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2021-01-01,1,APXMIDP ,407.3,68.54
2021-01-01,1,N2EXMIDP,0,0
2021-01-01,2,APXMIDP ,601.4,69.82
2021-01-01,2,N2EXMIDP,0,0
2021-01-01,3,APXMIDP ,608,67.42
2021-01-01,3,N2EXMIDP,0,0
2021-01-01,4,APXMIDP ,579.35,65.45
2021-01-01,4,N2EXMIDP,0,0
2021-01-01,5,APXMIDP ,729.4,59.44
2021-01-01,5,N2EXMIDP,0,0
2021-01-01,6,APXMIDP ,744.85,57.07
2021-01-01,6,N2EXMIDP,0,0
2021-01-01,7,APXMIDP ,508.2,50.1
2021-01-01,7,N2EXMIDP,0,0
2021-01-01,8,APXMIDP ,470.85,50.98
2021-01-01,8,N2EXMIDP,0,0
2021-01-01,9,APXMIDP ,440.9,57.77
2021-01-01,9,N2EXMIDP,0,0
2021-01-01,10,APXMIDP ,363.5,53.64
2021-01-01,10,N2EXMIDP,0,0
2021-01-01,11,APXMIDP ,546.15,53.42
2021-01-01,11,N2EXMIDP,0,0
2021-01-01,12,APXMIDP ,547.55,55.26
2021-01-01,12,N2EXMIDP,0,0
2021-01-01,13,APXMIDP ,456.25,57.78
2021-01-01,13,N2EXMIDP,0,0
2021-01-01,14,APXMIDP ,389.5,55.16
2021-01-01,14,N2EXMIDP,0,0
2021-01-01,15,APXMIDP ,416.65,37.71
2021-01-01,15,N2EXMIDP,0,0
2021-01-01,16,APXMIDP ,492.5,36.79
2021-01-01,16,N2EXMIDP,0,0
2021-01-01,17,APXMIDP ,672.75,42.52
2021-01-01,17,N2EXMIDP,0,0
2021-01-01,18,APXMIDP ,571.35,47.65
2021-01-01,18,N2EXMIDP,0,0
2021-01-01,19,APXMIDP ,856,41.98
2021-01-01,19,N2EXMIDP,0,0
2021-01-01,20,APXMIDP ,1094.9,44.08
2021-01-01,20,N2EXMIDP,0,0
2021-01-01,21,APXMIDP ,994.4,49.93
2021-01-01,21,N2EXMIDP,0,0
2021-01-01,22,APXMIDP ,969.1,46.79
2021-01-01,22,N2EXMIDP,0,0
2021-01-01,23,APXMIDP ,912.3,53.42
2021-01-01,23,N2EXMIDP,0,0
2021-01-01,24,APXMIDP ,965.9,60.35
2021-01-01,24,N2EXMIDP,0,0
2021-01-01,25,APXMIDP ,1024.15,68.28
2021-01-01,25,N2EXMIDP,0,0
2021-01-01,26,APXMIDP ,927.7,63.13
2021-01-01,26,N2EXMIDP,0,0
2021-01-01,27,APXMIDP ,861.25,70.06
2021-01-01,27,N2EXMIDP,0,0
2021-01-01,28,APXMIDP ,741.75,69.02
2021-01-01,28,N2EXMIDP,0,0
2021-01-01,29,APXMIDP ,854.8,71.27
2021-01-01,29,N2EXMIDP,0,0
2021-01-01,30,APXMIDP ,829.25,70.33
2021-01-01,30,N2EXMIDP,0,0
2021-01-01,31,APXMIDP ,839.7,76.11
2021-01-01,31,N2EXMIDP,0,0
2021-01-01,32,APXMIDP ,769.9,81.39
