SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2019-01-01,1,APXMIDP ,273,48.81
2019-01-01,1,N2EXMIDP,0,0
2019-01-01,2,APXMIDP ,222,50.24
2019-01-01,2,N2EXMIDP,0,0
2019-01-01,3,APXMIDP ,95.9,41.9
2019-01-01,3,N2EXMIDP,0,0
2019-01-01,4,APXMIDP ,182.3,39.32
2019-01-01,4,N2EXMIDP,0,0
2019-01-01,5,APXMIDP ,204.95,34.09
2019-01-01,5,N2EXMIDP,0,0
2019-01-01,6,APXMIDP ,374.15,29.85
2019-01-01,6,N2EXMIDP,0,0
2019-01-01,7,APXMIDP ,539.4,27.55
2019-01-01,7,N2EXMIDP,0,0
2019-01-01,8,APXMIDP ,619.4,25.61
2019-01-01,8,N2EXMIDP,0,0
2019-01-01,9,APXMIDP ,467,28.74
2019-01-01,9,N2EXMIDP,0,0
2019-01-01,10,APXMIDP ,596.95,26.86
2019-01-01,10,N2EXMIDP,0,0
2019-01-01,11,APXMIDP ,706.8,22.67
2019-01-01,11,N2EXMIDP,0,0
2019-01-01,12,APXMIDP ,720.5,22.9
2019-01-01,12,N2EXMIDP,0,0
2019-01-01,13,APXMIDP ,808,22.91
2019-01-01,13,N2EXMIDP,0,0
2019-01-01,14,APXMIDP ,745,23.39
2019-01-01,14,N2EXMIDP,0,0
2019-01-01,15,APXMIDP ,656,40.69
2019-01-01,15,N2EXMIDP,0,0
2019-01-01,16,APXMIDP ,753.05,40.41
2019-01-01,16,N2EXMIDP,0,0
2019-01-01,17,APXMIDP ,707.05,40.06
2019-01-01,17,N2EXMIDP,0,0
2019-01-01,18,APXMIDP ,502.95,41.45
2019-01-01,18,N2EXMIDP,0,0
2019-01-01,19,APXMIDP ,661.75,40.95
2019-01-01,19,N2EXMIDP,0,0
2019-01-01,20,APXMIDP ,772.45,40.15
2019-01-01,20,N2EXMIDP,0,0
2019-01-01,21,APXMIDP ,798.2,42.53
2019-01-01,21,N2EXMIDP,0,0
2019-01-01,22,APXMIDP ,861.95,45.1
2019-01-01,22,N2EXMIDP,0,0
2019-01-01,23,APXMIDP ,1055.15,51.75
2019-01-01,23,N2EXMIDP,0,0
2019-01-01,24,APXMIDP ,983.4,51.08
2019-01-01,24,N2EXMIDP,0,0
2019-01-01,25,APXMIDP ,1092.65,50.67
2019-01-01,25,N2EXMIDP,0,0
2019-01-01,26,APXMIDP ,1143.15,50.38
2019-01-01,26,N2EXMIDP,0,0
2019-01-01,27,APXMIDP ,972.9,51.43
2019-01-01,27,N2EXMIDP,0,0
2019-01-01,28,APXMIDP ,1190.9,49.9
2019-01-01,28,N2EXMIDP,0,0
2019-01-01,29,APXMIDP ,1202.25,51.39
2019-01-01,29,N2EXMIDP,0,0
2019-01-01,30,APXMIDP ,1344.5,52.01
2019-01-01,30,N2EXMIDP,0,0
2019-01-01,31,APXMIDP ,611.55,51.87
2019-01-01,31,N2EXMIDP,0,0
2019-01-01,32,APXMIDP ,647.9,48.49
2019-01-01,32,N2EXMIDP,0,0
2019-01-01,33,APXMIDP ,730.6,54.99
2019-01-01,33,N2EXMIDP,0,0
2019-01-01,34,APXMIDP ,896.25,62.42
2019-01-01,34,N2EXMIDP,0,0
2019-01-01,35,APXMIDP ,555,65.19
2019-01-01,35,N2EXMIDP,0,0
2019-01-01,36,APXMIDP ,820.7,65.95
2019-01-01,36,N2EXMIDP,0,0
2019-01-01,37,APXMIDP ,888.5,65.15
2019-01-01,37,N2EXMIDP,0,0
2019-01-01,38,APXMIDP ,1117.5,64.22
2019-01-01,38,N2EXMIDP,0,0
2019-01-01,39,APXMIDP ,209.25,59
2019-01-01,39,N2EXMIDP,0,0
2019-01-01,40,APXMIDP ,482.15,57.74
2019-01-01,40,N2EXMIDP,0,0
2019-01-01,41,APXMIDP ,254.5,57.2
2019-01-01,41,N2EXMIDP,0,0
2019-01-01,42,APXMIDP ,429.5,54.44
2019-01-01,42,N2EXMIDP,0,0
2019-01-01,43,APXMIDP ,674.75,51.66
2019-01-01,43,N2EXMIDP,0,0
2019-01-01,44,APXMIDP ,750.75,50.61
2019-01-01,44,N2EXMIDP,0,0
2019-01-01,45,APXMIDP ,728.75,50.84
2019-01-01,45,N2EXMIDP,0,0
2019-01-01,46,APXMIDP ,922.3,49.46
2019-01-01,46,N2EXMIDP,0,0
2019-01-01,47,APXMIDP ,377.6,45.07
2019-01-01,47,N2EXMIDP,0,0
2019-01-01,48,APXMIDP ,325.75,45.05
2019-01-01,48,N2EXMIDP,0,0
2019-01-02,1,APXMIDP ,341,44.9
2019-01-02,1,N2EXMIDP,0,0
2019-01-02,2,APXMIDP ,440,44.73
2019-01-02,2,N2EXMIDP,0,0
2019-01-02,3,APXMIDP ,313,44.02
2019-01-02,3,N2EXMIDP,0,0
2019-01-02,4,APXMIDP ,469,43.99
2019-01-02,4,N2EXMIDP,0,0
2019-01-02,5,APXMIDP ,476.5,44.17
2019-01-02,5,N2EXMIDP,0,0
2019-01-02,6,APXMIDP ,541.2,45.01
2019-01-02,6,N2EXMIDP,0,0
2019-01-02,7,APXMIDP ,255,46.71
2019-01-02,7,N2EXMIDP,0,0
2019-01-02,8,APXMIDP ,184,45.11
2019-01-02,8,N2EXMIDP,0,0
2019-01-02,9,APXMIDP ,248.2,46.19
2019-01-02,9,N2EXMIDP,0,0
2019-01-02,10,APXMIDP ,251.3,45.92
2019-01-02,10,N2EXMIDP,0,0
2019-01-02,11,APXMIDP ,126,46.04
2019-01-02,11,N2EXMIDP,0,0
2019-01-02,12,APXMIDP ,181,49.4
2019-01-02,12,N2EXMIDP,0,0
2019-01-02,13,APXMIDP ,308.75,49.4
2019-01-02,13,N2EXMIDP,0,0
2019-01-02,14,APXMIDP ,493.5,49.01
2019-01-02,14,N2EXMIDP,0,0
2019-01-02,15,APXMIDP ,460.95,53.39
2019-01-02,15,N2EXMIDP,0,0
2019-01-02,16,APXMIDP ,331.5,55.55
2019-01-02,16,N2EXMIDP,0,0
2019-01-02,17,APXMIDP ,609.5,57.27
2019-01-02,17,N2EXMIDP,0,0
2019-01-02,18,APXMIDP ,609.5,54.93
2019-01-02,18,N2EXMIDP,0,0
2019-01-02,19,APXMIDP ,575.15,58.87
2019-01-02,19,N2EXMIDP,0,0
2019-01-02,20,APXMIDP ,493.5,57.42
2019-01-02,20,N2EXMIDP,0,0
2019-01-02,21,APXMIDP ,535.5,57.52
2019-01-02,21,N2EXMIDP,0,0
2019-01-02,22,APXMIDP ,603.25,58.09
2019-01-02,22,N2EXMIDP,0,0
2019-01-02,23,APXMIDP ,525,65.43
2019-01-02,23,N2EXMIDP,0,0
2019-01-02,24,APXMIDP ,536,66.07
2019-01-02,24,N2EXMIDP,0,0
2019-01-02,25,APXMIDP ,664,68.28
2019-01-02,25,N2EXMIDP,0,0
2019-01-02,26,APXMIDP ,599,67.03
2019-01-02,26,N2EXMIDP,0,0
2019-01-02,27,APXMIDP ,640.5,65.88
2019-01-02,27,N2EXMIDP,0,0
2019-01-02,28,APXMIDP ,737.6,66.68
2019-01-02,28,N2EXMIDP,0,0
2019-01-02,29,APXMIDP ,797.1,67.12
2019-01-02,29,N2EXMIDP,0,0
2019-01-02,30,APXMIDP ,998.3,70.3
2019-01-02,30,N2EXMIDP,0,0
2019-01-02,31,APXMIDP ,1069.1,88.15
2019-01-02,31,N2EXMIDP,0,0
2019-01-02,32,APXMIDP ,1478.9,91.47
2019-01-02,32,N2EXMIDP,0,0
2019-01-02,33,APXMIDP ,1257.95,94.41
2019-01-02,33,N2EXMIDP,0,0
2019-01-02,34,APXMIDP ,1252.9,103.38
2019-01-02,34,N2EXMIDP,0,0
2019-01-02,35,APXMIDP ,1561.15,107.02
2019-01-02,35,N2EXMIDP,0,0
2019-01-02,36,APXMIDP ,1731.15,112.17
2019-01-02,36,N2EXMIDP,0,0
2019-01-02,37,APXMIDP ,1883.65,113.78
2019-01-02,37,N2EXMIDP,0,0
2019-01-02,38,APXMIDP ,1716.7,108.24
2019-01-02,38,N2EXMIDP,0,0
