SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2015-01-01,1,APXMIDP ,569.95,37.31
2015-01-01,1,N2EXMIDP,0,0
2015-01-01,2,APXMIDP ,511.25,38.2
2015-01-01,2,N2EXMIDP,0,0
2015-01-01,3,APXMIDP ,346.45,34.42
2015-01-01,3,N2EXMIDP,0,0
2015-01-01,4,APXMIDP ,376.95,30.78
2015-01-01,4,N2EXMIDP,0,0
2015-01-01,5,APXMIDP ,268.65,31
2015-01-01,5,N2EXMIDP,0,0
2015-01-01,6,APXMIDP ,478.55,29.55
2015-01-01,6,N2EXMIDP,0,0
2015-01-01,7,APXMIDP ,476.05,26.35
2015-01-01,7,N2EXMIDP,0,0
2015-01-01,8,APXMIDP ,525.25,25.62
2015-01-01,8,N2EXMIDP,0,0
2015-01-01,9,APXMIDP ,444.5,25.71
2015-01-01,9,N2EXMIDP,0,0
2015-01-01,10,APXMIDP ,506.75,25.37
2015-01-01,10,N2EXMIDP,0,0
2015-01-01,11,APXMIDP ,465.8,23.04
2015-01-01,11,N2EXMIDP,0,0
2015-01-01,12,APXMIDP ,480.2,22.68
2015-01-01,12,N2EXMIDP,0,0
2015-01-01,13,APXMIDP ,488.8,22.23
2015-01-01,13,N2EXMIDP,0,0
2015-01-01,14,APXMIDP ,491.55,23.78
2015-01-01,14,N2EXMIDP,0,0
2015-01-01,15,APXMIDP ,721.05,24.68
2015-01-01,15,N2EXMIDP,0,0
2015-01-01,16,APXMIDP ,646.2,24.36
2015-01-01,16,N2EXMIDP,0,0
2015-01-01,17,APXMIDP ,660.35,23.86
2015-01-01,17,N2EXMIDP,0,0
2015-01-01,18,APXMIDP ,757.95,23.63
2015-01-01,18,N2EXMIDP,0,0
2015-01-01,19,APXMIDP ,1026.55,27.25
2015-01-01,19,N2EXMIDP,0,0
2015-01-01,20,APXMIDP ,1003.1,27.91
2015-01-01,20,N2EXMIDP,0,0
2015-01-01,21,APXMIDP ,1030.9,27.73
2015-01-01,21,N2EXMIDP,0,0
2015-01-01,22,APXMIDP ,727.95,28.09
2015-01-01,22,N2EXMIDP,0,0
2015-01-01,23,APXMIDP ,888.05,38.24
2015-01-01,23,N2EXMIDP,0,0
2015-01-01,24,APXMIDP ,741.65,39.19
2015-01-01,24,N2EXMIDP,0,0
2015-01-01,25,APXMIDP ,633.5,39.83
2015-01-01,25,N2EXMIDP,0,0
2015-01-01,26,APXMIDP ,699.4,40.42
2015-01-01,26,N2EXMIDP,0,0
2015-01-01,27,APXMIDP ,702.1,40.9
2015-01-01,27,N2EXMIDP,0,0
2015-01-01,28,APXMIDP ,651.9,41.36
2015-01-01,28,N2EXMIDP,0,0
2015-01-01,29,APXMIDP ,669.2,38.33
2015-01-01,29,N2EXMIDP,0,0
2015-01-01,30,APXMIDP ,1014.2,34.89
2015-01-01,30,N2EXMIDP,0,0
2015-01-01,31,APXMIDP ,1094.4,37.4
2015-01-01,31,N2EXMIDP,0,0
2015-01-01,32,APXMIDP ,996.25,38.44
2015-01-01,32,N2EXMIDP,0,0
2015-01-01,33,APXMIDP ,839.8,41.96
2015-01-01,33,N2EXMIDP,0,0
2015-01-01,34,APXMIDP ,772.8,44.23
2015-01-01,34,N2EXMIDP,0,0
2015-01-01,35,APXMIDP ,803.35,47.85
2015-01-01,35,N2EXMIDP,0,0
2015-01-01,36,APXMIDP ,817.9,47.65
2015-01-01,36,N2EXMIDP,0,0
2015-01-01,37,APXMIDP ,736.65,45.91
2015-01-01,37,N2EXMIDP,0,0
2015-01-01,38,APXMIDP ,881.5,39.64
2015-01-01,38,N2EXMIDP,0,0
2015-01-01,39,APXMIDP ,1117.75,40.35
2015-01-01,39,N2EXMIDP,0,0
2015-01-01,40,APXMIDP ,1009.25,38.49
2015-01-01,40,N2EXMIDP,0,0
2015-01-01,41,APXMIDP ,980,37.33
2015-01-01,41,N2EXMIDP,0,0
2015-01-01,42,APXMIDP ,1225.25,36.22
2015-01-01,42,N2EXMIDP,0,0
2015-01-01,43,APXMIDP ,1227.85,34.02
2015-01-01,43,N2EXMIDP,0,0
2015-01-01,44,APXMIDP ,1177.1,33.31
2015-01-01,44,N2EXMIDP,0,0
2015-01-01,45,APXMIDP ,1236.45,33.46
2015-01-01,45,N2EXMIDP,0,0
2015-01-01,46,APXMIDP ,1641.2,32.22
2015-01-01,46,N2EXMIDP,0,0
2015-01-01,47,APXMIDP ,884.6,21.81
2015-01-01,47,N2EXMIDP,0,0
2015-01-01,48,APXMIDP ,563.55,22.18
2015-01-01,48,N2EXMIDP,0,0
2015-01-02,1,APXMIDP ,605.65,22.39
2015-01-02,1,N2EXMIDP,0,0
2015-01-02,2,APXMIDP ,603.55,21.74
2015-01-02,2,N2EXMIDP,0,0
2015-01-02,3,APXMIDP ,601.05,16.64
2015-01-02,3,N2EXMIDP,0,0
2015-01-02,4,APXMIDP ,500.25,14.57
2015-01-02,4,N2EXMIDP,0,0
2015-01-02,5,APXMIDP ,481.6,14.99
2015-01-02,5,N2EXMIDP,0,0
2015-01-02,6,APXMIDP ,484.95,14.51
2015-01-02,6,N2EXMIDP,0,0
2015-01-02,7,APXMIDP ,562.65,3.68
2015-01-02,7,N2EXMIDP,0,0
2015-01-02,8,APXMIDP ,541.95,3.65
2015-01-02,8,N2EXMIDP,0,0
2015-01-02,9,APXMIDP ,554.5,3.8
2015-01-02,9,N2EXMIDP,0,0
2015-01-02,10,APXMIDP ,511.95,4.06
2015-01-02,10,N2EXMIDP,0,0
2015-01-02,11,APXMIDP ,1034.5,7.63
2015-01-02,11,N2EXMIDP,0,0
2015-01-02,12,APXMIDP ,867,9.48
2015-01-02,12,N2EXMIDP,0,0
2015-01-02,13,APXMIDP ,1203.9,8.39
2015-01-02,13,N2EXMIDP,0,0
2015-01-02,14,APXMIDP ,1270.15,16.19
2015-01-02,14,N2EXMIDP,0,0
2015-01-02,15,APXMIDP ,1247.45,35.91
2015-01-02,15,N2EXMIDP,0,0
2015-01-02,16,APXMIDP ,1053.55,35.9
2015-01-02,16,N2EXMIDP,0,0
2015-01-02,17,APXMIDP ,1051.5,36.99
2015-01-02,17,N2EXMIDP,0,0
2015-01-02,18,APXMIDP ,1003.1,36.15
2015-01-02,18,N2EXMIDP,0,0
2015-01-02,19,APXMIDP ,849.8,37.4
2015-01-02,19,N2EXMIDP,0,0
2015-01-02,20,APXMIDP ,809.8,36.8
2015-01-02,20,N2EXMIDP,0,0
2015-01-02,21,APXMIDP ,787.2,36.3
2015-01-02,21,N2EXMIDP,0,0
2015-01-02,22,APXMIDP ,842.4,36.18
2015-01-02,22,N2EXMIDP,0,0
2015-01-02,23,APXMIDP ,541,35.8
2015-01-02,23,N2EXMIDP,0,0
2015-01-02,24,APXMIDP ,585.95,35.81
2015-01-02,24,N2EXMIDP,0,0
2015-01-02,25,APXMIDP ,685.55,36.4
2015-01-02,25,N2EXMIDP,0,0
2015-01-02,26,APXMIDP ,766.9,36.3
2015-01-02,26,N2EXMIDP,0,0
2015-01-02,27,APXMIDP ,654.75,35.9
2015-01-02,27,N2EXMIDP,0,0
2015-01-02,28,APXMIDP ,746.55,35.73
2015-01-02,28,N2EXMIDP,0,0
2015-01-02,29,APXMIDP ,705.9,35.71
2015-01-02,29,N2EXMIDP,0,0
2015-01-02,30,APXMIDP ,821.35,34.93
2015-01-02,30,N2EXMIDP,0,0
2015-01-02,31,APXMIDP ,1065.55,41.3
2015-01-02,31,N2EXMIDP,0,0
2015-01-02,32,APXMIDP ,1072.9,41.36
2015-01-02,32,N2EXMIDP,0,0
2015-01-02,33,APXMIDP ,968.35,42.56
2015-01-02,33,N2EXMIDP,0,0
2015-01-02,34,APXMIDP ,638.2,53.59
2015-01-02,34,N2EXMIDP,0,0
2015-01-02,35,APXMIDP ,684.25,59.4
2015-01-02,35,N2EXMIDP,0,0
2015-01-02,36,APXMIDP ,703.6,60.3
2015-01-02,36,N2EXMIDP,0,0
2015-01-02,37,APXMIDP ,820.95,56.66
2015-01-02,37,N2EXMIDP,0,0
2015-01-02,38,APXMIDP ,929.05,55.76
2015-01-02,38,N2EXMIDP,0,0
2015-01-02,39,APXMIDP ,834,41.11
2015-01-02,39,N2EXMIDP,0,0
2015-01-02,40,APXMIDP ,724.35,39.59
2015-01-02,40,N2EXMIDP,0,0
2015-01-02,41,APXMIDP ,856.8,39.23
2015-01-02,41,N2EXMIDP,0,0
2015-01-02,42,APXMIDP ,737.9,38.83
2015-01-02,42,N2EXMIDP,0,0
2015-01-02,43,APXMIDP ,821.85,39.34
2015-01-02,43,N2EXMIDP,0,0
2015-01-02,44,APXMIDP ,992.05,38.31
2015-01-02,44,N2EXMIDP,0,0
2015-01-02,45,APXMIDP ,1234.55,38.38
2015-01-02,45,N2EXMIDP,0,0
2015-01-02,46,APXMIDP ,1562.75,38.53
2015-01-02,46,N2EXMIDP,0,0
2015-01-02,47,APXMIDP ,1087.05,35.47
2015-01-02,47,N2EXMIDP,0,0
2015-01-02,48,APXMIDP ,836.95,34.35
2015-01-02,48,N2EXMIDP,0,0
2015-01-03,1,APXMIDP ,642.35,34.43
2015-01-03,1,N2EXMIDP,0,0
2015-01-03,2,APXMIDP ,536.9,34.44
2015-01-03,2,N2EXMIDP,0,0
2015-01-03,3,APXMIDP ,566.4,33.45
2015-01-03,3,N2EXMIDP,0,0
2015-01-03,4,APXMIDP ,586.9,31.87
2015-01-03,4,N2EXMIDP,0,0
2015-01-03,5,APXMIDP ,474.9,31.79
2015-01-03,5,N2EXMIDP,0,0
2015-01-03,6,APXMIDP ,362.55,32.18
2015-01-03,6,N2EXMIDP,0,0
2015-01-03,7,APXMIDP ,696.3,29.87
2015-01-03,7,N2EXMIDP,0,0
2015-01-03,8,APXMIDP ,782.15,28.23
2015-01-03,8,N2EXMIDP,0,0
2015-01-03,9,APXMIDP ,683.1,26.66
2015-01-03,9,N2EXMIDP,0,0
2015-01-03,10,APXMIDP ,722.8,25.64
2015-01-03,10,N2EXMIDP,0,0
2015-01-03,11,APXMIDP ,827.35,23.08
2015-01-03,11,N2EXMIDP,0,0
2015-01-03,12,APXMIDP ,692,28.7
2015-01-03,12,N2EXMIDP,0,0
2015-01-03,13,APXMIDP ,995.35,35.81
2015-01-03,13,N2EXMIDP,0,0
2015-01-03,14,APXMIDP ,840.7,36.26
2015-01-03,14,N2EXMIDP,0,0
2015-01-03,15,APXMIDP ,1366.2,37.23
2015-01-03,15,N2EXMIDP,0,0
2015-01-03,16,APXMIDP ,1358.05,37.11
2015-01-03,16,N2EXMIDP,0,0
2015-01-03,17,APXMIDP ,907.8,38.08
2015-01-03,17,N2EXMIDP,0,0
2015-01-03,18,APXMIDP ,910.15,39.09
2015-01-03,18,N2EXMIDP,0,0
2015-01-03,19,APXMIDP ,674,40.43
2015-01-03,19,N2EXMIDP,0,0
2015-01-03,20,APXMIDP ,560.5,39.65
2015-01-03,20,N2EXMIDP,0,0
2015-01-03,21,APXMIDP ,468.35,38.98
2015-01-03,21,N2EXMIDP,0,0
2015-01-03,22,APXMIDP ,508.6,37.44
2015-01-03,22,N2EXMIDP,0,0
2015-01-03,23,APXMIDP ,471.1,39.91
2015-01-03,23,N2EXMIDP,0,0
2015-01-03,24,APXMIDP ,413.35,40.77
2015-01-03,24,N2EXMIDP,0,0
2015-01-03,25,APXMIDP ,313.7,42.52
2015-01-03,25,N2EXMIDP,0,0
2015-01-03,26,APXMIDP ,359.45,41.58
2015-01-03,26,N2EXMIDP,0,0
2015-01-03,27,APXMIDP ,382.65,39.43
2015-01-03,27,N2EXMIDP,0,0
2015-01-03,28,APXMIDP ,569.2,38.53
2015-01-03,28,N2EXMIDP,0,0
2015-01-03,29,APXMIDP ,590.9,38.14
2015-01-03,29,N2EXMIDP,0,0
2015-01-03,30,APXMIDP ,680.35,37.03
2015-01-03,30,N2EXMIDP,0,0
2015-01-03,31,APXMIDP ,434.35,43.26
2015-01-03,31,N2EXMIDP,0,0
2015-01-03,32,APXMIDP ,468.9,43.43
2015-01-03,32,N2EXMIDP,0,0
2015-01-03,33,APXMIDP ,476.6,45.43
2015-01-03,33,N2EXMIDP,0,0
2015-01-03,34,APXMIDP ,672.75,59.2
2015-01-03,34,N2EXMIDP,0,0
2015-01-03,35,APXMIDP ,1003.05,71.09
2015-01-03,35,N2EXMIDP,0,0
2015-01-03,36,APXMIDP ,1004.1,70.99
2015-01-03,36,N2EXMIDP,0,0
2015-01-03,37,APXMIDP ,871.45,63.72
2015-01-03,37,N2EXMIDP,0,0
2015-01-03,38,APXMIDP ,754.2,59.82
2015-01-03,38,N2EXMIDP,0,0
2015-01-03,39,APXMIDP ,551.6,43.3
2015-01-03,39,N2EXMIDP,0,0
2015-01-03,40,APXMIDP ,396.35,41.39
2015-01-03,40,N2EXMIDP,0,0
2015-01-03,41,APXMIDP ,458.9,40.89
2015-01-03,41,N2EXMIDP,0,0
2015-01-03,42,APXMIDP ,443.65,41.22
2015-01-03,42,N2EXMIDP,0,0
2015-01-03,43,APXMIDP ,587.1,40.92
2015-01-03,43,N2EXMIDP,0,0
2015-01-03,44,APXMIDP ,403.2,39.28
2015-01-03,44,N2EXMIDP,0,0
2015-01-03,45,APXMIDP ,727.5,37.34
2015-01-03,45,N2EXMIDP,0,0
2015-01-03,46,APXMIDP ,909.25,37.78
2015-01-03,46,N2EXMIDP,0,0
2015-01-03,47,APXMIDP ,1182,40.34
2015-01-03,47,N2EXMIDP,0,0
2015-01-03,48,APXMIDP ,936.25,41
2015-01-03,48,N2EXMIDP,0,0
2015-01-04,1,APXMIDP ,1050.7,42.82
2015-01-04,1,N2EXMIDP,0,0
2015-01-04,2,APXMIDP ,923.4,42.21
2015-01-04,2,N2EXMIDP,0,0
2015-01-04,3,APXMIDP ,664.05,42.98
2015-01-04,3,N2EXMIDP,0,0
2015-01-04,4,APXMIDP ,779.9,40.46
2015-01-04,4,N2EXMIDP,0,0
2015-01-04,5,APXMIDP ,665,40.34
2015-01-04,5,N2EXMIDP,0,0
2015-01-04,6,APXMIDP ,712.75,40.24
2015-01-04,6,N2EXMIDP,0,0
2015-01-04,7,APXMIDP ,499.25,36.16
2015-01-04,7,N2EXMIDP,0,0
2015-01-04,8,APXMIDP ,539,35.83
2015-01-04,8,N2EXMIDP,0,0
2015-01-04,9,APXMIDP ,321.9,34.3
2015-01-04,9,N2EXMIDP,0,0
2015-01-04,10,APXMIDP ,374.7,30.97
2015-01-04,10,N2EXMIDP,0,0
2015-01-04,11,APXMIDP ,385.15,28.47
2015-01-04,11,N2EXMIDP,0,0
2015-01-04,12,APXMIDP ,338,31.1
2015-01-04,12,N2EXMIDP,0,0
2015-01-04,13,APXMIDP ,389.5,33.29
2015-01-04,13,N2EXMIDP,0,0
2015-01-04,14,APXMIDP ,530.5,32.41
2015-01-04,14,N2EXMIDP,0,0
2015-01-04,15,APXMIDP ,1057.75,33.8
2015-01-04,15,N2EXMIDP,0,0
2015-01-04,16,APXMIDP ,682.5,34.13
2015-01-04,16,N2EXMIDP,0,0
2015-01-04,17,APXMIDP ,672.6,33.95
2015-01-04,17,N2EXMIDP,0,0
2015-01-04,18,APXMIDP ,509,34.31
2015-01-04,18,N2EXMIDP,0,0
2015-01-04,19,APXMIDP ,526.15,37.49
2015-01-04,19,N2EXMIDP,0,0
2015-01-04,20,APXMIDP ,492.15,36.33
2015-01-04,20,N2EXMIDP,0,0
2015-01-04,21,APXMIDP ,367.45,38.11
2015-01-04,21,N2EXMIDP,0,0
2015-01-04,22,APXMIDP ,434.55,38.29
2015-01-04,22,N2EXMIDP,0,0
2015-01-04,23,APXMIDP ,374.7,46.67
2015-01-04,23,N2EXMIDP,0,0
2015-01-04,24,APXMIDP ,416.1,46.13
2015-01-04,24,N2EXMIDP,0,0
2015-01-04,25,APXMIDP ,429.3,45.89
2015-01-04,25,N2EXMIDP,0,0
2015-01-04,26,APXMIDP ,500.35,45.23
2015-01-04,26,N2EXMIDP,0,0
2015-01-04,27,APXMIDP ,613.15,44.83
2015-01-04,27,N2EXMIDP,0,0
2015-01-04,28,APXMIDP ,612.75,43.62
2015-01-04,28,N2EXMIDP,0,0
2015-01-04,29,APXMIDP ,613.8,40.95
2015-01-04,29,N2EXMIDP,0,0
2015-01-04,30,APXMIDP ,603.25,40.31
2015-01-04,30,N2EXMIDP,0,0
2015-01-04,31,APXMIDP ,949.75,38.86
2015-01-04,31,N2EXMIDP,0,0
2015-01-04,32,APXMIDP ,691.3,39.26
2015-01-04,32,N2EXMIDP,0,0
2015-01-04,33,APXMIDP ,308.1,44.56
2015-01-04,33,N2EXMIDP,0,0
2015-01-04,34,APXMIDP ,389.65,51.53
2015-01-04,34,N2EXMIDP,0,0
2015-01-04,35,APXMIDP ,636.75,63.94
2015-01-04,35,N2EXMIDP,0,0
2015-01-04,36,APXMIDP ,625.55,63.95
2015-01-04,36,N2EXMIDP,0,0
2015-01-04,37,APXMIDP ,554.3,54.78
2015-01-04,37,N2EXMIDP,0,0
2015-01-04,38,APXMIDP ,443.3,52.33
2015-01-04,38,N2EXMIDP,0,0
2015-01-04,39,APXMIDP ,671.8,42.64
2015-01-04,39,N2EXMIDP,0,0
2015-01-04,40,APXMIDP ,397.4,40.84
2015-01-04,40,N2EXMIDP,0,0
2015-01-04,41,APXMIDP ,570.6,44.76
2015-01-04,41,N2EXMIDP,0,0
2015-01-04,42,APXMIDP ,547.15,42
2015-01-04,42,N2EXMIDP,0,0
2015-01-04,43,APXMIDP ,444.7,40.44
2015-01-04,43,N2EXMIDP,0,0
2015-01-04,44,APXMIDP ,407.5,39.85
2015-01-04,44,N2EXMIDP,0,0
2015-01-04,45,APXMIDP ,400.55,38.43
2015-01-04,45,N2EXMIDP,0,0
2015-01-04,46,APXMIDP ,721.6,39.93
2015-01-04,46,N2EXMIDP,0,0
2015-01-04,47,APXMIDP ,558.9,40.36
2015-01-04,47,N2EXMIDP,0,0
2015-01-04,48,APXMIDP ,369.05,37.76
2015-01-04,48,N2EXMIDP,0,0
2015-01-05,1,APXMIDP ,425.4,37.43
2015-01-05,1,N2EXMIDP,0,0
2015-01-05,2,APXMIDP ,235.6,40.33
2015-01-05,2,N2EXMIDP,0,0
2015-01-05,3,APXMIDP ,323.35,41.29
2015-01-05,3,N2EXMIDP,0,0
2015-01-05,4,APXMIDP ,433.05,39.12
2015-01-05,4,N2EXMIDP,0,0
2015-01-05,5,APXMIDP ,399.8,39.51
2015-01-05,5,N2EXMIDP,0,0
2015-01-05,6,APXMIDP ,479.6,36.75
2015-01-05,6,N2EXMIDP,0,0
2015-01-05,7,APXMIDP ,568.25,32.68
2015-01-05,7,N2EXMIDP,0,0
2015-01-05,8,APXMIDP ,645.7,33.52
2015-01-05,8,N2EXMIDP,0,0
2015-01-05,9,APXMIDP ,564,30.74
2015-01-05,9,N2EXMIDP,0,0
2015-01-05,10,APXMIDP ,601.1,30.61
2015-01-05,10,N2EXMIDP,0,0
2015-01-05,11,APXMIDP ,499,32.91
2015-01-05,11,N2EXMIDP,0,0
2015-01-05,12,APXMIDP ,542.95,37.89
2015-01-05,12,N2EXMIDP,0,0
2015-01-05,13,APXMIDP ,877.9,39.56
2015-01-05,13,N2EXMIDP,0,0
2015-01-05,14,APXMIDP ,1466.35,42.23
2015-01-05,14,N2EXMIDP,0,0
2015-01-05,15,APXMIDP ,940.1,42.28
2015-01-05,15,N2EXMIDP,0,0
2015-01-05,16,APXMIDP ,871.15,43.13
2015-01-05,16,N2EXMIDP,0,0
2015-01-05,17,APXMIDP ,712.25,42.91
2015-01-05,17,N2EXMIDP,0,0
2015-01-05,18,APXMIDP ,596.6,42.59
2015-01-05,18,N2EXMIDP,0,0
2015-01-05,19,APXMIDP ,446.6,43.86
2015-01-05,19,N2EXMIDP,0,0
2015-01-05,20,APXMIDP ,571.35,44.88
2015-01-05,20,N2EXMIDP,0,0
2015-01-05,21,APXMIDP ,527.6,46.32
2015-01-05,21,N2EXMIDP,0,0
2015-01-05,22,APXMIDP ,556.65,46.35
2015-01-05,22,N2EXMIDP,0,0
2015-01-05,23,APXMIDP ,282.75,43.59
2015-01-05,23,N2EXMIDP,0,0
2015-01-05,24,APXMIDP ,249.5,41.24
2015-01-05,24,N2EXMIDP,0,0
2015-01-05,25,APXMIDP ,246,41
2015-01-05,25,N2EXMIDP,0,0
2015-01-05,26,APXMIDP ,248,39.94
2015-01-05,26,N2EXMIDP,0,0
2015-01-05,27,APXMIDP ,366.8,38.23
2015-01-05,27,N2EXMIDP,0,0
2015-01-05,28,APXMIDP ,562.45,37.23
2015-01-05,28,N2EXMIDP,0,0
2015-01-05,29,APXMIDP ,463.45,37.08
2015-01-05,29,N2EXMIDP,0,0
2015-01-05,30,APXMIDP ,582.55,36.47
2015-01-05,30,N2EXMIDP,0,0
2015-01-05,31,APXMIDP ,896.95,43.02
2015-01-05,31,N2EXMIDP,0,0
2015-01-05,32,APXMIDP ,923.3,42.86
2015-01-05,32,N2EXMIDP,0,0
2015-01-05,33,APXMIDP ,876.5,47.06
2015-01-05,33,N2EXMIDP,0,0
2015-01-05,34,APXMIDP ,633.5,51.59
2015-01-05,34,N2EXMIDP,0,0
2015-01-05,35,APXMIDP ,938.35,62.16
2015-01-05,35,N2EXMIDP,0,0
2015-01-05,36,APXMIDP ,1028.4,61.6
2015-01-05,36,N2EXMIDP,0,0
2015-01-05,37,APXMIDP ,941.45,54.29
2015-01-05,37,N2EXMIDP,0,0
2015-01-05,38,APXMIDP ,1069.35,51.63
2015-01-05,38,N2EXMIDP,0,0
2015-01-05,39,APXMIDP ,987.55,41.12
2015-01-05,39,N2EXMIDP,0,0
2015-01-05,40,APXMIDP ,785.05,41.53
2015-01-05,40,N2EXMIDP,0,0
2015-01-05,41,APXMIDP ,679.8,40.51
2015-01-05,41,N2EXMIDP,0,0
2015-01-05,42,APXMIDP ,629.55,40.57
2015-01-05,42,N2EXMIDP,0,0
2015-01-05,43,APXMIDP ,770,39.64
2015-01-05,43,N2EXMIDP,0,0
2015-01-05,44,APXMIDP ,740.05,39.51
2015-01-05,44,N2EXMIDP,0,0
2015-01-05,45,APXMIDP ,775.15,38.2
2015-01-05,45,N2EXMIDP,0,0
2015-01-05,46,APXMIDP ,1458.25,37.91
2015-01-05,46,N2EXMIDP,0,0
2015-01-05,47,APXMIDP ,519,34.26
2015-01-05,47,N2EXMIDP,0,0
2015-01-05,48,APXMIDP ,246.7,32.26
2015-01-05,48,N2EXMIDP,0,0
2015-01-06,1,APXMIDP ,315.5,33.23
2015-01-06,1,N2EXMIDP,0,0
2015-01-06,2,APXMIDP ,322.65,33.98
2015-01-06,2,N2EXMIDP,0,0
2015-01-06,3,APXMIDP ,340.95,33.44
2015-01-06,3,N2EXMIDP,0,0
2015-01-06,4,APXMIDP ,404.2,33.19
2015-01-06,4,N2EXMIDP,0,0
2015-01-06,5,APXMIDP ,279.25,31.46
2015-01-06,5,N2EXMIDP,0,0
2015-01-06,6,APXMIDP ,406.9,30.81
2015-01-06,6,N2EXMIDP,0,0
2015-01-06,7,APXMIDP ,603.15,28.2
2015-01-06,7,N2EXMIDP,0,0
2015-01-06,8,APXMIDP ,530.85,27.31
2015-01-06,8,N2EXMIDP,0,0
2015-01-06,9,APXMIDP ,442.85,27.26
2015-01-06,9,N2EXMIDP,0,0
2015-01-06,10,APXMIDP ,495.85,26.66
2015-01-06,10,N2EXMIDP,0,0
2015-01-06,11,APXMIDP ,490.05,28.45
2015-01-06,11,N2EXMIDP,0,0
2015-01-06,12,APXMIDP ,423.95,22.97
2015-01-06,12,N2EXMIDP,0,0
2015-01-06,13,APXMIDP ,524.4,29.79
2015-01-06,13,N2EXMIDP,0,0
2015-01-06,14,APXMIDP ,1059.7,34.84
2015-01-06,14,N2EXMIDP,0,0
2015-01-06,15,APXMIDP ,1437.25,40.53
2015-01-06,15,N2EXMIDP,0,0
2015-01-06,16,APXMIDP ,1099.35,40.49
2015-01-06,16,N2EXMIDP,0,0
2015-01-06,17,APXMIDP ,1055.5,37.42
2015-01-06,17,N2EXMIDP,0,0
2015-01-06,18,APXMIDP ,955.65,36.89
2015-01-06,18,N2EXMIDP,0,0
2015-01-06,19,APXMIDP ,1088.05,36.99
2015-01-06,19,N2EXMIDP,0,0
2015-01-06,20,APXMIDP ,1096.85,37.46
2015-01-06,20,N2EXMIDP,0,0
2015-01-06,21,APXMIDP ,1289.25,36.86
2015-01-06,21,N2EXMIDP,0,0
2015-01-06,22,APXMIDP ,1378.8,36.65
2015-01-06,22,N2EXMIDP,0,0
2015-01-06,23,APXMIDP ,1529.85,35.79
2015-01-06,23,N2EXMIDP,0,0
2015-01-06,24,APXMIDP ,1545,35.72
