SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2014-01-01,1,APXMIDP ,301.5,35.32
2014-01-01,1,N2EXMIDP,0,0
2014-01-01,2,APXMIDP ,365.65,37.28
2014-01-01,2,N2EXMIDP,0,0
2014-01-01,3,APXMIDP ,184,41.5
2014-01-01,3,N2EXMIDP,0,0
2014-01-01,4,APXMIDP ,185.15,36.74
2014-01-01,4,N2EXMIDP,0,0
2014-01-01,5,APXMIDP ,283.5,32.04
2014-01-01,5,N2EXMIDP,0,0
2014-01-01,6,APXMIDP ,322.5,30.51
2014-01-01,6,N2EXMIDP,0,0
2014-01-01,7,APXMIDP ,454.3,26.62
2014-01-01,7,N2EXMIDP,0,0
2014-01-01,8,APXMIDP ,566.95,24.41
2014-01-01,8,N2EXMIDP,0,0
2014-01-01,9,APXMIDP ,554.4,22.39
2014-01-01,9,N2EXMIDP,0,0
2014-01-01,10,APXMIDP ,666.65,20.75
2014-01-01,10,N2EXMIDP,0,0
2014-01-01,11,APXMIDP ,795.2,21.46
2014-01-01,11,N2EXMIDP,0,0
2014-01-01,12,APXMIDP ,774,22.19
2014-01-01,12,N2EXMIDP,0,0
2014-01-01,13,APXMIDP ,803.7,22.81
2014-01-01,13,N2EXMIDP,0,0
2014-01-01,14,APXMIDP ,689.6,22.82
2014-01-01,14,N2EXMIDP,0,0
2014-01-01,15,APXMIDP ,895.35,27.78
2014-01-01,15,N2EXMIDP,0,0
2014-01-01,16,APXMIDP ,759.25,26.65
2014-01-01,16,N2EXMIDP,0,0
2014-01-01,17,APXMIDP ,608.4,27.62
2014-01-01,17,N2EXMIDP,0,0
2014-01-01,18,APXMIDP ,673.65,27.44
2014-01-01,18,N2EXMIDP,0,0
2014-01-01,19,APXMIDP ,1181,28.19
2014-01-01,19,N2EXMIDP,0,0
2014-01-01,20,APXMIDP ,994.6,28.64
2014-01-01,20,N2EXMIDP,0,0
2014-01-01,21,APXMIDP ,1091.6,30.08
2014-01-01,21,N2EXMIDP,0,0
2014-01-01,22,APXMIDP ,1013.45,29.91
2014-01-01,22,N2EXMIDP,0,0
2014-01-01,23,APXMIDP ,611.3,39.01
2014-01-01,23,N2EXMIDP,0,0
2014-01-01,24,APXMIDP ,538.25,38.9
2014-01-01,24,N2EXMIDP,0,0
2014-01-01,25,APXMIDP ,676.25,38.09
