SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2018-01-01,1,APXMIDP ,666.15,45.17
2018-01-01,1,N2EXMIDP,0,0
2018-01-01,2,APXMIDP ,562.15,45.52
2018-01-01,2,N2EXMIDP,0,0
2018-01-01,3,APXMIDP ,782.5,51.65
2018-01-01,3,N2EXMIDP,0,0
2018-01-01,4,APXMIDP ,625,50.4
2018-01-01,4,N2EXMIDP,0,0
2018-01-01,5,APXMIDP ,577.05,47.54
2018-01-01,5,N2EXMIDP,0,0
2018-01-01,6,APXMIDP ,535.5,47.37
2018-01-01,6,N2EXMIDP,0,0
2018-01-01,7,APXMIDP ,460.85,35.98
2018-01-01,7,N2EXMIDP,0,0
2018-01-01,8,APXMIDP ,589.9,36.61
2018-01-01,8,N2EXMIDP,0,0
2018-01-01,9,APXMIDP ,385.15,34.24
2018-01-01,9,N2EXMIDP,0,0
2018-01-01,10,APXMIDP ,614.85,34.8
2018-01-01,10,N2EXMIDP,0,0
2018-01-01,11,APXMIDP ,486.1,36.93
2018-01-01,11,N2EXMIDP,0,0
2018-01-01,12,APXMIDP ,502,38.29
2018-01-01,12,N2EXMIDP,0,0
2018-01-01,13,APXMIDP ,542.15,39.25
2018-01-01,13,N2EXMIDP,0,0
2018-01-01,14,APXMIDP ,661.4,38.19
2018-01-01,14,N2EXMIDP,0,0
2018-01-01,15,APXMIDP ,431.85,43.08
2018-01-01,15,N2EXMIDP,0,0
2018-01-01,16,APXMIDP ,235.65,49.6
2018-01-01,16,N2EXMIDP,0,0
2018-01-01,17,APXMIDP ,533.8,44.03
2018-01-01,17,N2EXMIDP,0,0
2018-01-01,18,APXMIDP ,404.5,47.66
2018-01-01,18,N2EXMIDP,0,0
2018-01-01,19,APXMIDP ,284.1,47.36
2018-01-01,19,N2EXMIDP,0,0
2018-01-01,20,APXMIDP ,331.1,46.87
2018-01-01,20,N2EXMIDP,0,0
2018-01-01,21,APXMIDP ,481.95,47.08
2018-01-01,21,N2EXMIDP,0,0
2018-01-01,22,APXMIDP ,766.6,44.35
2018-01-01,22,N2EXMIDP,0,0
2018-01-01,23,APXMIDP ,296.3,48.1
2018-01-01,23,N2EXMIDP,0,0
2018-01-01,24,APXMIDP ,268,47.75
2018-01-01,24,N2EXMIDP,0,0
2018-01-01,25,APXMIDP ,371.5,54.93
2018-01-01,25,N2EXMIDP,0,0
2018-01-01,26,APXMIDP ,448,57.62
2018-01-01,26,N2EXMIDP,0,0
2018-01-01,27,APXMIDP ,667.55,54.64
2018-01-01,27,N2EXMIDP,0,0
2018-01-01,28,APXMIDP ,748,55.75
2018-01-01,28,N2EXMIDP,0,0
2018-01-01,29,APXMIDP ,968,52.94
2018-01-01,29,N2EXMIDP,0,0
2018-01-01,30,APXMIDP ,1058.05,51.41
2018-01-01,30,N2EXMIDP,0,0
2018-01-01,31,APXMIDP ,433.5,64.49
2018-01-01,31,N2EXMIDP,0,0
2018-01-01,32,APXMIDP ,485,62.68
2018-01-01,32,N2EXMIDP,0,0
2018-01-01,33,APXMIDP ,761,62.58
2018-01-01,33,N2EXMIDP,0,0
2018-01-01,34,APXMIDP ,906.5,64.08
2018-01-01,34,N2EXMIDP,0,0
2018-01-01,35,APXMIDP ,800,62.45
2018-01-01,35,N2EXMIDP,0,0
2018-01-01,36,APXMIDP ,1076.45,60.83
2018-01-01,36,N2EXMIDP,0,0
2018-01-01,37,APXMIDP ,911,60.48
2018-01-01,37,N2EXMIDP,0,0
2018-01-01,38,APXMIDP ,1001.8,57.91
2018-01-01,38,N2EXMIDP,0,0
2018-01-01,39,APXMIDP ,792.55,45.12
2018-01-01,39,N2EXMIDP,0,0
2018-01-01,40,APXMIDP ,830.5,45.1
2018-01-01,40,N2EXMIDP,0,0
2018-01-01,41,APXMIDP ,1005.35,45.65
2018-01-01,41,N2EXMIDP,0,0
2018-01-01,42,APXMIDP ,1076,44.81
2018-01-01,42,N2EXMIDP,0,0
2018-01-01,43,APXMIDP ,1280.1,45.92
2018-01-01,43,N2EXMIDP,0,0
2018-01-01,44,APXMIDP ,1186.6,45.72
2018-01-01,44,N2EXMIDP,0,0
2018-01-01,45,APXMIDP ,1432.1,44.94
2018-01-01,45,N2EXMIDP,0,0
2018-01-01,46,APXMIDP ,1452.5,44.64
2018-01-01,46,N2EXMIDP,0,0
2018-01-01,47,APXMIDP ,253,44.78
2018-01-01,47,N2EXMIDP,0,0
2018-01-01,48,APXMIDP ,175,41.77
2018-01-01,48,N2EXMIDP,0,0
2018-01-02,1,APXMIDP ,244.7,42.18
2018-01-02,1,N2EXMIDP,0,0
2018-01-02,2,APXMIDP ,274,42.78
2018-01-02,2,N2EXMIDP,0,0
