SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2022-01-01,1,APXMIDP ,388.2,43.83
2022-01-01,1,N2EXMIDP,0,0
2022-01-01,2,APXMIDP ,481.6,31.15
2022-01-01,2,N2EXMIDP,0,0
2022-01-01,3,APXMIDP ,468.55,24.74
2022-01-01,3,N2EXMIDP,0,0
2022-01-01,4,APXMIDP ,695.4,9.04
2022-01-01,4,N2EXMIDP,0,0
2022-01-01,5,APXMIDP ,722.9,37.09
2022-01-01,5,N2EXMIDP,0,0
2022-01-01,6,APXMIDP ,545.7,10.59
2022-01-01,6,N2EXMIDP,0,0
2022-01-01,7,APXMIDP ,551,-12.37
2022-01-01,7,N2EXMIDP,0,0
2022-01-01,8,APXMIDP ,628.5,-34.94
2022-01-01,8,N2EXMIDP,0,0
2022-01-01,9,APXMIDP ,585.25,-40.88
2022-01-01,9,N2EXMIDP,0,0
2022-01-01,10,APXMIDP ,633.8,-59.6
2022-01-01,10,N2EXMIDP,0,0
2022-01-01,11,APXMIDP ,703.7,-64.47
2022-01-01,11,N2EXMIDP,0,0
2022-01-01,12,APXMIDP ,513.55,-60.64
2022-01-01,12,N2EXMIDP,0,0
2022-01-01,13,APXMIDP ,724.3,-57.85
2022-01-01,13,N2EXMIDP,0,0
2022-01-01,14,APXMIDP ,733.25,-60.61
2022-01-01,14,N2EXMIDP,0,0
2022-01-01,15,APXMIDP ,1059.15,-52.34
2022-01-01,15,N2EXMIDP,0,0
2022-01-01,16,APXMIDP ,898.7,-56.38
2022-01-01,16,N2EXMIDP,0,0
2022-01-01,17,APXMIDP ,1007.5,-58.61
2022-01-01,17,N2EXMIDP,0,0
2022-01-01,18,APXMIDP ,876.1,-54.36
2022-01-01,18,N2EXMIDP,0,0
2022-01-01,19,APXMIDP ,848.65,-27.56
2022-01-01,19,N2EXMIDP,0,0
2022-01-01,20,APXMIDP ,1051.4,9.78
2022-01-01,20,N2EXMIDP,0,0
2022-01-01,21,APXMIDP ,1002.2,19.27
2022-01-01,21,N2EXMIDP,0,0
2022-01-01,22,APXMIDP ,983.7,50.23
2022-01-01,22,N2EXMIDP,0,0
2022-01-01,23,APXMIDP ,958.95,17.67
2022-01-01,23,N2EXMIDP,0,0
2022-01-01,24,APXMIDP ,1096.05,33.81
2022-01-01,24,N2EXMIDP,0,0
2022-01-01,25,APXMIDP ,1053.4,39.98
2022-01-01,25,N2EXMIDP,0,0
2022-01-01,26,APXMIDP ,1466.9,72.6
2022-01-01,26,N2EXMIDP,0,0
2022-01-01,27,APXMIDP ,1002.85,42.44
2022-01-01,27,N2EXMIDP,0,0
2022-01-01,28,APXMIDP ,1010.5,30.05
2022-01-01,28,N2EXMIDP,0,0
2022-01-01,29,APXMIDP ,1444.25,25.9
2022-01-01,29,N2EXMIDP,0,0
2022-01-01,30,APXMIDP ,992.65,31.99
2022-01-01,30,N2EXMIDP,0,0
2022-01-01,31,APXMIDP ,1367.45,51.47
2022-01-01,31,N2EXMIDP,0,0
2022-01-01,32,APXMIDP ,1170.6,51.13
2022-01-01,32,N2EXMIDP,0,0
2022-01-01,33,APXMIDP ,1391.8,50.15
2022-01-01,33,N2EXMIDP,0,0
2022-01-01,34,APXMIDP ,1564.3,62.55
2022-01-01,34,N2EXMIDP,0,0
2022-01-01,35,APXMIDP ,1528.95,64.03
2022-01-01,35,N2EXMIDP,0,0
2022-01-01,36,APXMIDP ,1377.55,71.56
2022-01-01,36,N2EXMIDP,0,0
2022-01-01,37,APXMIDP ,1601.9,76.92
2022-01-01,37,N2EXMIDP,0,0
2022-01-01,38,APXMIDP ,1412,70.79
2022-01-01,38,N2EXMIDP,0,0
2022-01-01,39,APXMIDP ,1126,40.13
2022-01-01,39,N2EXMIDP,0,0
2022-01-01,40,APXMIDP ,1102.65,45.02
2022-01-01,40,N2EXMIDP,0,0
2022-01-01,41,APXMIDP ,1449.85,62.02
2022-01-01,41,N2EXMIDP,0,0
2022-01-01,42,APXMIDP ,1399.2,62.31
2022-01-01,42,N2EXMIDP,0,0
2022-01-01,43,APXMIDP ,1109.55,48.5
2022-01-01,43,N2EXMIDP,0,0
2022-01-01,44,APXMIDP ,916.35,47.03
2022-01-01,44,N2EXMIDP,0,0
2022-01-01,45,APXMIDP ,1162.15,47.35
2022-01-01,45,N2EXMIDP,0,0
2022-01-01,46,APXMIDP ,919,40.87
2022-01-01,46,N2EXMIDP,0,0
2022-01-01,47,APXMIDP ,648.3,21.94
2022-01-01,47,N2EXMIDP,0,0
2022-01-01,48,APXMIDP ,847.65,17.66
2022-01-01,48,N2EXMIDP,0,0
2022-01-02,1,APXMIDP ,548.7,39
2022-01-02,1,N2EXMIDP,0,0
2022-01-02,2,APXMIDP ,487.05,50.54
2022-01-02,2,N2EXMIDP,0,0
2022-01-02,3,APXMIDP ,601.55,36.07
2022-01-02,3,N2EXMIDP,0,0
2022-01-02,4,APXMIDP ,579.75,25.99
2022-01-02,4,N2EXMIDP,0,0
2022-01-02,5,APXMIDP ,700.15,22.8
2022-01-02,5,N2EXMIDP,0,0
2022-01-02,6,APXMIDP ,630.1,21.28
2022-01-02,6,N2EXMIDP,0,0
2022-01-02,7,APXMIDP ,599.05,20.89
2022-01-02,7,N2EXMIDP,0,0
