SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2023-01-01,1,APXMIDP ,635.65,62.48
2023-01-01,1,N2EXMIDP,0,0
2023-01-01,2,APXMIDP ,557.1,103.42
2023-01-01,2,N2EXMIDP,0,0
2023-01-01,3,APXMIDP ,593.7,122.1
2023-01-01,3,N2EXMIDP,0,0
2023-01-01,4,APXMIDP ,784.45,52.75
2023-01-01,4,N2EXMIDP,0,0
2023-01-01,5,APXMIDP ,641.7,33.5
2023-01-01,5,N2EXMIDP,0,0
2023-01-01,6,APXMIDP ,535.3,18.34
2023-01-01,6,N2EXMIDP,0,0
2023-01-01,7,APXMIDP ,490.2,-20.28
2023-01-01,7,N2EXMIDP,0,0
2023-01-01,8,APXMIDP ,450.2,-31.6
2023-01-01,8,N2EXMIDP,0,0
2023-01-01,9,APXMIDP ,387.8,-25.43
2023-01-01,9,N2EXMIDP,0,0
2023-01-01,10,APXMIDP ,557.4,-1.61
2023-01-01,10,N2EXMIDP,0,0
2023-01-01,11,APXMIDP ,689.45,6.53
2023-01-01,11,N2EXMIDP,0,0
2023-01-01,12,APXMIDP ,581.95,-5.53
2023-01-01,12,N2EXMIDP,0,0
2023-01-01,13,APXMIDP ,677.25,-6.19
2023-01-01,13,N2EXMIDP,0,0
2023-01-01,14,APXMIDP ,595,-6.32
2023-01-01,14,N2EXMIDP,0,0
2023-01-01,15,APXMIDP ,762.25,-15.47
2023-01-01,15,N2EXMIDP,0,0
2023-01-01,16,APXMIDP ,541.6,-10.44
2023-01-01,16,N2EXMIDP,0,0
2023-01-01,17,APXMIDP ,648.15,-16.6
2023-01-01,17,N2EXMIDP,0,0
2023-01-01,18,APXMIDP ,974.3,4.89
2023-01-01,18,N2EXMIDP,0,0
2023-01-01,19,APXMIDP ,1094.3,68.04
2023-01-01,19,N2EXMIDP,0,0
2023-01-01,20,APXMIDP ,941.4,104.64
2023-01-01,20,N2EXMIDP,0,0
2023-01-01,21,APXMIDP ,1177.1,134.83
2023-01-01,21,N2EXMIDP,0,0
