SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2017-01-01,1,APXMIDP ,505,44.9
2017-01-01,1,N2EXMIDP,0,0
2017-01-01,2,APXMIDP ,559.15,47.13
2017-01-01,2,N2EXMIDP,0,0
2017-01-01,3,APXMIDP ,649.35,45.62
2017-01-01,3,N2EXMIDP,0,0
2017-01-01,4,APXMIDP ,712.65,44.05
2017-01-01,4,N2EXMIDP,0,0
2017-01-01,5,APXMIDP ,599.15,44.83
2017-01-01,5,N2EXMIDP,0,0
2017-01-01,6,APXMIDP ,499.3,45.51
2017-01-01,6,N2EXMIDP,0,0
2017-01-01,7,APXMIDP ,474.5,44.85
2017-01-01,7,N2EXMIDP,0,0
2017-01-01,8,APXMIDP ,487,42.8
2017-01-01,8,N2EXMIDP,0,0
2017-01-01,9,APXMIDP ,348.85,42.33
2017-01-01,9,N2EXMIDP,0,0
2017-01-01,10,APXMIDP ,262.3,40.87
2017-01-01,10,N2EXMIDP,0,0
2017-01-01,11,APXMIDP ,341.5,41.53
2017-01-01,11,N2EXMIDP,0,0
2017-01-01,12,APXMIDP ,350.75,41.89
2017-01-01,12,N2EXMIDP,0,0
2017-01-01,13,APXMIDP ,447.2,42.64
2017-01-01,13,N2EXMIDP,0,0
2017-01-01,14,APXMIDP ,501,42.61
2017-01-01,14,N2EXMIDP,0,0
2017-01-01,15,APXMIDP ,1157.5,40.78
2017-01-01,15,N2EXMIDP,0,0
2017-01-01,16,APXMIDP ,1006.5,39.43
2017-01-01,16,N2EXMIDP,0,0
2017-01-01,17,APXMIDP ,1073,38.29
2017-01-01,17,N2EXMIDP,0,0
2017-01-01,18,APXMIDP ,1069,38.99
2017-01-01,18,N2EXMIDP,0,0
2017-01-01,19,APXMIDP ,835,42.46
2017-01-01,19,N2EXMIDP,0,0
2017-01-01,20,APXMIDP ,753.75,42.53
2017-01-01,20,N2EXMIDP,0,0
2017-01-01,21,APXMIDP ,653.45,41.86
2017-01-01,21,N2EXMIDP,0,0
